When it happens.	Kung magkagayon.
The rival carabao has lots of experience.	Maraming karanasan ang kalabang kalabaw.
The rival carabao is weaker than the carabao.	Mas mahina ang kalabang kalabaw kaysa sa kalabaw.
The rival fought hard with the chick.	Lumaban ng matindi ang kalaban sa sisiw.
The rival puppy is good at floorball.	Ang kalabang tuta ay magaling sa floorball.
The rival puppy is not good at floorball.	Ang kalabang tuta ay hindi magaling sa floorball.
The rival puppy's team has no members.	Walang miyembro ang koponan ng kalabang tuta.
The rival puppy's team has no wins.	Wala pang panalo ang koponan ng kalabang tuta.
The rival shark has lots of experience.	Maraming karanasan ang kalabang pating.
The rival shark is stronger than the shark.	Mas malakas ang kalabang pating kaysa sa pating.
The rival shark is weaker than the shark.	Mas mahina ang kalabang pating kaysa sa pating.
The rival shark promises to beat the shark.	Nangako ang kalabang pating na tatalunin ang pating.
The rival tiger is good at floorball.	Ang kalabang tigre ay magaling sa floorball.
The rival tiger is not good at floorball.	Ang kalabang tigre ay hindi magaling sa floorball.
The rival tiger's team has no members.	Walang miyembro ang koponan ng kalabang tigre.
The rival tiger's team has no wins.	Wala pang panalo ang koponan ng kalabang tigre.
The road was blocked by fallen rocks.	Ang kalye ay hinarangan ng mga nahulog na bato.
The roasted pig is delicious with soy sauce.	Napakasarap ng lechon kasama ang toyo.
The robber broke the window of the car.	Binasag ng magnanakaw ang bintana ng sasakyan.
The rock is rolling away from my friend.	Gumugulong palayo sa aking kaibigan ang bato.
The rock is running away from my toy.	Tumatakbo palayo sa aking larun ang bato.
The rock was not able to explode inside the bag.	Hindi nagawang sumabog ng bato sa loob ng bag.
The Roman persecution of the Christians is bad.	Ang pag-uusig ng mga Romano sa Kristyano ay masama.
The roosters thought they were invincible.	Inakala ng mga tandang na sila ay walang talo.
The royal palace was built on a hill.	Ang palasyo ay itinayo sa itaas ng burol.
The rules were recently relaxed.	Kamakailan lamang pinaluwag ang mga alituntunin.
The same rum you guzzled those days.	Ang alak na iniinom nyo noong mga panahong iyon.
The sauce of the grilled fish is spicy.	Maanghang yung sawsawan ng inihaw na isda.
The school for jellyfishes is closed.	Ang paaralan para sa mga dikya ay sarado.
The school library has now become lounge.	Ang silid-aklatan ng paaralan ay naging tambayan na.
The school was established last year.	Ang paaralan ay itinatag noong isang taon.
The scorpion can't do what they do.	Hindi magawa ng alakdan ang kaya nilang gawin.
The scorpion couldn't do what you do.	Hindi kaya ng alakdan gawin ang kaya mong gawin.
The scorpion do not have any ideas at this time.	Walang ideya ang alakdan sa oras na ito.
The scorpion had to judge it for myself.	Kinailangan ng alakdan na maghukom pasa sa sarili ko.
The scorpion had to pay no less than 1.	Kinailangan magbayad ng alakdan ng hindi bababa sa 1.
The scorpion have to get the laundry dried.	Kailangang patuyuin ng alakdan ang labahan.
The scorpion just want to hop into my boat.	Gustong sumama ng alakdan sa barko ko.
The scorpion just wish the dog could be here.	Pangarap ng alakdan na makasama dito ang aso.
The scorpion know how to ride a horse.	Alam ng alakdan paano sumakay ng kabayo.
The scorpion never could keep a secret.	Hindi kayang magtago ng alakdan ng lihim.
The scorpion really agree with you.	Talagang sumasang-ayon ang alakdan sa iyo.
The scorpion think you can help the dog.	Iniisip ng alakdan na kaya mong tulungan ang aso.
The scorpion throws a special attack.	Nagbato ang alakdan ng espesyal na atake.
The scorpion won't be at today's meeting.	Wala ang alakdan sa pagpupulong ngayon.
The scorpion's family prepare for the worst.	Naghahanda ang pamilya ng alakdan para sa masama.
The scorpion's friends sleep early.	Natulog ng maaga ang mga kaibigan ng alakdan.
The scorpion's team arrive at the village.	Dumating ang koponan ng pagon sa bayan.
The scorpion's team goes through a river.	Dumaan ang koponan ng alakdan sa ilog.
The scorpions team has to get a message.	Ang koponan ng alakdan ay kailangan makakuha ng mensahe.
The scorpion's team is given a mission.	Binigyan ng misyon ang koponan ng alakdan.
The scorpion's team is sent to another mission.	Pinadala ng koponan ng alakdan sa isang misyon.
The scorpion's team is to beat a villain.	Tatalunin ng koponan ng alakdan ang kalaban.
The scorpion's team walk through the village.	Naglakad ang koponan ng alakdan sa bayan.
The scorpion's team walk to a house.	Naglakad ang koponan ng alakdan sa isang bahay.
The scorpion's team works well.	Nagtatrabaho ang koponan ng alakdan ng maayos.
The seagull attends ninja school.	Umattend ang tagak ng paaralan para sa ninja.
The seagull cannot find the real seagull.	Hindi mahanap ng tagak ang totoong tagak.
The seagull is a nine-tailed seagull.	Ang tagak ay isang siyam na buntot na tagak.
The seagull wouldn't worry about them.	Hindi mag-aalala ang tagak tungkol sa kanila.
The seagulls appointed miss smith chairperson.	Tinalaga ng mga tagak si miss smith bilang pinuno.
The seagulls are always hard up for food.	Laging nagsusumikap ang mga tagak para sa pagkain.
The seagulls buy vegetables at the supermarket.	Bumili ang mga tagak ng gulay sa palengke.
The seagulls can't possibly work.	Hindi posibleng makapagtrabaho ang mga tagak.
The seagulls chartered a bus for the firm's outing.	Nangalap ang mga agil ng bus para sa lakbay.
The seagulls clearly take this football thing seriously.	Sineseryoso ng mga tagak ang football.
The seagulls contradict themselves constantly.	Laging kinokontra ng mga tagak ang sarili nila.
The seagulls did an unimaginable job.	Gumawa ang tagak ng hindi kapani-paniwalang bagay.
The seagulls do many things together.	Gumawa ang mga tagak ng mga bagay ng sama-sama.
The seagulls forgot to turn off the light.	Nakalimutan ng mga tagak patayin ang ilaw.
The seagulls need to face the consequences.	Kailangan harapin ng mga tagak ang kalalabasan.
The seagulls refused to admit they were wrong.	Hindi inaamin ng mga tagak na nagkamali sila.
The seagulls run like pigs from a gun.	Tumatakbo ng parang baboy ang mga tagak sa baril.
The seagulls sell eggs at the supermarket.	Nagbenta ang mga tagak ng itlog sa palengke.
The seagulls stole your wallet on the train.	Ninakaw ng mga tagak ang pitaka mo sa tren.
The second computer in the middle is broken!	Sira ang ikalawang kompyuter sa gitna!
The second computer in the middle is broken.	Sira ang ikalawang kompyuter sa gitna.
The second computer on the left is broken!	Sira ang ikalawang kompyuter sa kaliwa!
The second computer on the left is broken.	Sira ang ikalawang kompyuter sa kaliwa.
The second computer on the right is broken!	Sira ang ikalawang kompyuter sa kanan!
The second computer on the right is broken.	Sira ang ikalawang kompyuter sa kanan.
The second showing will start soon.	Ang pangalawang showing ay malapit nang magisumla.
The security in Changi airport is tight.	Mahigpit ang seguridad sa paliparan ng Changi.
The semester exams are finally over.	Ang huling pagsusulit ay tapos na sa wakas.
The sense of taste is affected by sense of smell.	Ang panlasa ay naaapektuhan ng pang-amoy.
The shark got accepted to the bicycle club.	Natanggap ang pating sa koponan ng bisikleta.
The shark is watching yowamushi pedal.	Nanonood ang pating ng duwag na pagpepedal.
The shark knows how to ride the bicycle.	Marunong sumakay ng bisikleta ang pating.
The shark promises to beat the rival shark.	Nangako ang pating na tatalunin ang kalabang pating.
The sharks agree to face each other again.	Nagkasundo ang mga pating na maglaban ulit.
The shark's bike suffered a puncture.	Nagtamo ng butas sa gulong ang bisikleta ng pating.
The shark's friend ride bikes.	Ang kaibigan ng pating ay sumasakay sa mga bisikleta.
The sharks go to school on bikes.	Sumasakay ang mga pating sa mga bisikleta papunta sa paaralan.
The sharks go to school the next day.	Pumasok sa paaralan ang mga pating sa sumunod na araw.
The sharks have a bicycle coemption.	Mayroon kumpetisyon ng bisikleta ang mga pating.
The sharks have a practice race.	Nagkaroon ng pagsasanay na karera ang mga pating.
The sharks ride with all their might.	Bnigay ng lahat ng mga pating sa pagsakay.
The sheep agree to kill more sheep.	Nagkasundo ang dalawang tupa na pumatay pa ng maraming tupa.
The sheep continue to kill evil sheep.	Nagpatuloy na pumatay ang mga tupa ng masasamang tupa.
The sheep does not know of the other notebook.	Hindi alam ng tupa ang iba pang talaan.
The sheep kills half the population.	Pinatay ng tupa ang kalahati ng populasyon.
The sheep knows the evil society.	Alam ng tupa ang masamang lipunan ng mga tupa.
The sheep loves to kill for its friends.	Gustong pumatay ng tupa para sa mga kaibigan niya.
The sheep written on the notebook will die.	Ang tupa na nakasulat sa talaan ay mamamatay.
The sheep's name is written in the notebook.	Nakasulat sa talaan ang pangalan ng tupa.
The ship sank to the bottom of the sea.	Ang barko ay lumubog sa ilalim ng dagat.
The ship went through the Panama Canal.	Ang mga barko ay lumusto sa Panama Canal.
The shop is just in front of the station.	Sa harap lamang ng tindahan ang estasyon.
The shrimp is watching sword art online.	Nanonood ang hipon ng tabak sining online.
The shrimps are still inside the game.	Nasa loob pa rin ng laro ang mga hipon.
The siblings look like each other a lot.	Ang magkapatid ay magkamukhang-magkamukha.
The sign says to defeat evil with love.	Sabi sa sulat na talunin ang kasamaan ng pagmamahal.
The sinigang na baboy looks good.	Parang masarap tignan yung sinigang na baboy.
The sky was white as salt as we drove.	Ang langit ay kasing-puti ng asin habang nagmamaneho kami.
The sluggish cats were dropped from the team.	Ang mga mababagal na pusa ay natanggal sa koponan.
The smoke pouring out of Cotopaxi volcano.	ang usok sa pagbuhos ng Cotopaxi volcano.
The snail can tell you that it didn't happen.	Kaya ng suso sabihin sayo na hindi yun nangyari.
The snail caught three fish yesterday.	Nakahuli ang suso ng tatlong isda kahapon.
The snail couldn't answer all the questions.	Hindi ng suso masagot lahat ng mga tanong.
The snail didn't say the snail would help you.	Hindi ng suso sinabing tutulungan kita.
The snail do not care how old you are.	Wala ang suso paki-alam kung gaano kayo katanda.
The snail do not know if the snail still have it.	Di ng suso alam kung nasa akin pa.
The snail do not want to fail my exams.	Ayong suso bumagsak sa aking mga pagsusulit.
The snail drinks water from the river.	Umiinom ng tubig mula sa ilog ang suso.
The snail go to school every day by bus.	Araw-araw nagbubus ang suso papuntang eskuwela.
The snail have found what the snail was looking for.	Nakita ng suso ang hinahanap ng suso.
The snail just do not know what to say.	Di ng suso lang talaga alam kung ano sasabihin.
The snail like science fiction better.	Mas gusto ng suso ang siyensiyang piksiyon.
The snail no longer have the energy to talk.	Wala na ang suso enerhiya para magsalita.
The snail see a flower on the desk.	Kita ng suso may bulaklak sa ibabaw ng pupitre.
The snail somehow understand your feelings.	Naiintidihan ng suso ang pakiramdam mo.
The snail talk to tom on the phone every day.	Kinakausap ng suso si tom sa telepono araw-araw.
The snail used to play tennis with him on Sundays.	Naglalaro kami ng tennis kapag linggo noon.
The snail usually go to bed at nine.	Karaniwang nasa kama na ang suso nang alas nuwebe.
The snail want to have dinner in a restaurant.	Gusto ng suso maghapunan sa restawran.
The snail wanted to go to the concert.	Gusto ng suso sanang pumunta sa concert.
The snail was raised eating Mexican food.	Lumaki ang suso nakain ng pagkaing meksikano.
The snail was wondering if you could give me a lift.	Iniisip ng suso kung pwede mo ba ito isakay.
The snails are very interested in astronomy.	Talagang interesado sila sa astronomiya.
The snails arrived in Paris at the same time.	Parehong oras silang dumating sa paris.
The snails believe in a life after death.	Naniniwala sila sa buhay pagkatapos ng kamatayan.
The snails sat in the shade of that big tree.	Umupo sila sa lilim ng malaking punong iyon.
The snake is a big fan of the master.	Isang malaking tagahanga ng master ang ahas.
The snake is ready for the skating competition.	Handa na ang ahas sa skating na laban.
The snake knows how to skate beautifully.	Alam ng ahas paano mag-skate ng maganda.
The snake meets with the snake coach.	Nagkita ang ahas at ang tagapagturo na ahas.
The snake performed with a mellow music.	Nagtanghal ang ahas sa malumanay na tugtog.
The snake performed with strong music.	Nagtanghal ang ahas sa malakas na tugtog.
The snake wanted to marry the coach.	Gustong pakasalan ng ahas ang tagapagturo ng ahas.
The snake's coach is happy with the routine.	Masaya ang tagapagturo ng ahas sa pagtatanghal.
The snake's coach said not to follow him.	Sinabi ng tagapagturo na ahas na huwag siyang sundan.
The snakes deliberate the performances.	Pinagdebatehan ng mga ahas ang pagtatanghal.
The snow brings joy to children.	Nagbibigay ng kasiyahan sa mga bata ang niyebe.
The snowstorm raged for a full week.	Ang snowstorm ay naminsala nang isang buong linggo.
The sound of the speaker is better here.	Mas maganda ang tunog dito ng ispiker.
The spider cannot beat the spider.	Hindi matalo ng gagamba ang malakas na gagamba.
The spider discovers another spirit.	Nadiskubre ng gagamba ang iba pang espiritu.
The spider faces a strong spider.	Nakaharap ng malakas na gagamba ang gagamba.
